"","FECHA","AÑO","CLASE","DIA_SEMANA","MES","SEMANA","FESTIVIDAD"
"384",2020-03-04,2020,"Volcamiento","miercoles","03","10","NO"
"385",2020-03-05,2020,"Atropello","jueves","03","10","NO"
"386",2020-03-05,2020,"Caida de Ocupante","jueves","03","10","NO"
"387",2020-03-05,2020,"Choque","jueves","03","10","NO"
"388",2020-03-05,2020,"Incendio","jueves","03","10","NO"
"389",2020-03-05,2020,"Otro","jueves","03","10","NO"
"390",2020-03-05,2020,"Volcamiento","jueves","03","10","NO"
"391",2020-03-06,2020,"Atropello","viernes","03","10","NO"
"392",2020-03-06,2020,"Caida de Ocupante","viernes","03","10","NO"
"393",2020-03-06,2020,"Choque","viernes","03","10","NO"
"394",2020-03-06,2020,"Incendio","viernes","03","10","NO"
"395",2020-03-06,2020,"Otro","viernes","03","10","NO"
"396",2020-03-06,2020,"Volcamiento","viernes","03","10","NO"
"397",2020-03-07,2020,"Atropello","sabado","03","10","NO"
"398",2020-03-07,2020,"Caida de Ocupante","sabado","03","10","NO"
"399",2020-03-07,2020,"Choque","sabado","03","10","NO"
"400",2020-03-07,2020,"Incendio","sabado","03","10","NO"
"401",2020-03-07,2020,"Otro","sabado","03","10","NO"
"402",2020-03-07,2020,"Volcamiento","sabado","03","10","NO"
"403",2020-03-08,2020,"Atropello","domingo","03","10","NO"
"404",2020-03-08,2020,"Caida de Ocupante","domingo","03","10","NO"
"405",2020-03-08,2020,"Choque","domingo","03","10","NO"
"406",2020-03-08,2020,"Incendio","domingo","03","10","NO"
"407",2020-03-08,2020,"Otro","domingo","03","10","NO"
"408",2020-03-08,2020,"Volcamiento","domingo","03","10","NO"
"409",2020-03-09,2020,"Atropello","lunes","03","10","NO"
"410",2020-03-09,2020,"Caida de Ocupante","lunes","03","10","NO"
"411",2020-03-09,2020,"Choque","lunes","03","10","NO"
"412",2020-03-09,2020,"Incendio","lunes","03","10","NO"
"413",2020-03-09,2020,"Otro","lunes","03","10","NO"
"414",2020-03-09,2020,"Volcamiento","lunes","03","10","NO"
"415",2020-03-10,2020,"Atropello","martes","03","10","NO"
"416",2020-03-10,2020,"Caida de Ocupante","martes","03","10","NO"
"417",2020-03-10,2020,"Choque","martes","03","10","NO"
"418",2020-03-10,2020,"Incendio","martes","03","10","NO"
"419",2020-03-10,2020,"Otro","martes","03","10","NO"
"420",2020-03-10,2020,"Volcamiento","martes","03","10","NO"
"421",2020-03-11,2020,"Atropello","miercoles","03","11","NO"
"422",2020-03-11,2020,"Caida de Ocupante","miercoles","03","11","NO"
"423",2020-03-11,2020,"Choque","miercoles","03","11","NO"
"424",2020-03-11,2020,"Incendio","miercoles","03","11","NO"
"425",2020-03-11,2020,"Otro","miercoles","03","11","NO"
"426",2020-03-11,2020,"Volcamiento","miercoles","03","11","NO"
"427",2020-03-12,2020,"Atropello","jueves","03","11","NO"
"428",2020-03-12,2020,"Caida de Ocupante","jueves","03","11","NO"
"429",2020-03-12,2020,"Choque","jueves","03","11","NO"
"430",2020-03-12,2020,"Incendio","jueves","03","11","NO"
"431",2020-03-12,2020,"Otro","jueves","03","11","NO"
"432",2020-03-12,2020,"Volcamiento","jueves","03","11","NO"
